"","X","School","State","School.Type","Total.Disbursements","Year"
"12639",7108,"TRINITY COLLEGE OF NURSING AND HEALTH SCIENCES                        ","IL","PRIVATE-NONPROFIT",290092.92,1213
"12640",7109,"RICHARD J DALEY COLLEGE-CITY COLLEGES OF CHICAGO                      ","IL","PUBLIC",11879569.12,1213
"12641",7110,"UNIVERSITY OF ILLINOIS AT SPRINGFIELD                                 ","IL","PUBLIC",4465544,1213
"12642",7111,"COLLEGE OF DU PAGE                                                    ","IL","PUBLIC",25151272.93,1213
"12643",7112,"KISHWAUKEE COLLEGE                                                    ","IL","PUBLIC",7702687.93,1213
"12644",7113,"LARRY'S BARBER COLLEGE                                                ","IL","PROPRIETARY",736409.64,1213
"12645",7114,"ILLINOIS CENTER FOR BROADCASTING                                      ","IL","PROPRIETARY",907500.06,1213
"12646",7115,"CAMEO BEAUTY ACADEMY                                                  ","IL","PROPRIETARY",373055.56,1213
"12647",7116,"ELMHURST COLLEGE                                                      ","IL","PRIVATE-NONPROFIT",3951723,1213
"12648",7117,"CITY COLLEGES OF CHICAGO HARRY S TRUMAN COLLEGE                       ","IL","PUBLIC",12396952.5,1213
"12649",7118,"HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY                              ","IL","PROPRIETARY",177107,1213
"12650",7119,"WESTWOOD COLLEGE - DUPAGE                                             ","IL","PROPRIETARY",4334953,1213
"12651",7120,"UNIVERSITY OF SPA & COSMETOLOGY ARTS                                  ","IL","PROPRIETARY",533752,1213
"12652",7121,"HAIRMASTERS INSTITUTE OF COSMETOLOGY                                  ","IL","PROPRIETARY",335039,1213
"12653",7122,"STATE CAREER SCHOOL                                                   ","IL","PROPRIETARY",195540,1213
"12654",7123,"INNOVATIONS DESIGN ACADEMY                                            ","IL","PROPRIETARY",137463,1213
"12655",7124,"UNIVERSITY OF AESTHETICS & COSMETOLOGY (THE)                          ","IL","PROPRIETARY",55910,1213
"12656",7125,"TRICOCI UNIVERSITY OF BEAUTY CULTURE                                  ","IL","PROPRIETARY",722974,1213
"12657",7126,"LEWIS UNIVERSITY                                                      ","IL","PRIVATE-NONPROFIT",5892019.11,1213
"12658",7127,"OLIVET NAZARENE UNIVERSITY                                            ","IL","PRIVATE-NONPROFIT",4769346.58,1213
"12659",7128,"MIDWEST TECHNICAL INSTITUTE                                           ","IL","PROPRIETARY",11495667.32,1213
"12660",7129,"TRICOCI UNIVERSITY OF BEAUTY CULTURE                                  ","IL","PROPRIETARY",446362,1213
"12661",7130,"MS ROBERTS ACADEMY OF BEAUTY CULTURE                                  ","IL","PROPRIETARY",262010,1213
"12662",7131,"ILLINOIS EASTERN COMMUNITY COLLEGES -FRONTIER COMMUNITY COLLEGE       ","IL","PUBLIC",945739,1213
"12663",7132,"COYNE COLLEGE                                                         ","IL","PROPRIETARY",3482755,1213
"12664",7133,"UNIVERSAL SPA TRAINING ACADEMY                                        ","IL","PROPRIETARY",189366,1213
"12665",7134,"KENDALL COLLEGE                                                       ","IL","PROPRIETARY",3250483,1213
"12666",7135,"ALVAREITA'S COLLEGE OF COSMETOLOGY                                    ","IL","PROPRIETARY",286887,1213
"12667",7136,"HARRINGTON COLLEGE OF DESIGN                                          ","IL","PROPRIETARY",938636.36,1213
"12668",7137,"MILLIKIN UNIVERSITY                                                   ","IL","PRIVATE-NONPROFIT",3666540,1213
"12669",7138,"TRICOCI UNIVERSITY OF BEAUTY CULTURE                                  ","IL","PROPRIETARY",727217,1213
"12670",7139,"WESTWOOD COLLEGE - O'HARE AIRPORT                                     ","IL","PROPRIETARY",4766855,1213
"12671",7140,"HAIR PROFESSIONALS ACADEMY OF COSMETOLOGY                             ","IL","PROPRIETARY",560326,1213
"12672",7141,"DEVRY UNIVERSITY                                                      ","IL","PROPRIETARY",161441893,1213
"12673",7142,"COLLEGE OF LAKE COUNTY                                                ","IL","PUBLIC",11717118.88,1213
"12674",7143,"NATIONAL UNIVERSITY OF HEALTH SCIENCES (THE)                          ","IL","PRIVATE-NONPROFIT",172027,1213
"12675",7144,"LE CORDON BLEU COLLEGE OF CULINARY ARTS IN CHICAGO                    ","IL","PROPRIETARY",4106160.08,1213
"12676",7145,"CHAMBERLAIN COLLEGE OF NURSING                                        ","IL","PROPRIETARY",17078165,1213
"12677",7146,"CONCEPT COLLEGE OF COSMETOLOGY                                        ","IL","PROPRIETARY",382517,1213
"12678",7147,"MAC DANIELS BEAUTY SCHOOL                                             ","IL","PROPRIETARY",132477,1213
"12679",7148,"LEXINGTON COLLEGE                                                     ","IL","PRIVATE-NONPROFIT",138312,1213
"12680",7149,"QUINCY UNIVERSITY                                                     ","IL","PRIVATE-NONPROFIT",2289892.37,1213
"12681",7150,"ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE           ","IL","PUBLIC",1355260,1213
"12682",7151,"NORTHWESTERN UNIVERSITY                                               ","IL","PRIVATE-NONPROFIT",5251277,1213
"12683",7152,"GEM CITY COLLEGE                                                      ","IL","PROPRIETARY",110152,1213
"12684",7153,"VATTEROTT COLLEGE                                                     ","IL","PROPRIETARY",3062494,1213
"12685",7154,"COMPUTER SYSTEMS INSTITUTE                                            ","IL","PROPRIETARY",7667233.18,1213
"12686",7155,"LINCOLN LAND COMMUNITY COLLEGE                                        ","IL","PUBLIC",8622717.52,1213
"12687",7156,"ERIKSON INSTITUTE                                                     ","IL","PRIVATE-NONPROFIT",22340,1213
"12688",7157,"EDUCATORS OF BEAUTY                                                   ","IL","PROPRIETARY",500455,1213
"12689",7158,"BENEDICTINE UNIVERSITY                                                ","IL","PRIVATE-NONPROFIT",6506646,1213
"12690",7159,"NATIONAL LATINO EDUCATION INSTITUTE                                   ","IL","PRIVATE-NONPROFIT",313257.63,1213
"12691",7160,"AURORA UNIVERSITY                                                     ","IL","PRIVATE-NONPROFIT",4880982.32,1213
"12692",7161,"FIRST INSTITUTE                                                       ","IL","PROPRIETARY",499203,1213
"12693",7162,"SAUK VALLEY COMMUNITY COLLEGE                                         ","IL","PUBLIC",3551198.57,1213
"12694",7163,"BRADLEY UNIVERSITY                                                    ","IL","PRIVATE-NONPROFIT",4950559,1213
"12695",7164,"SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE                            ","IL","PUBLIC",26094804.7,1213
"12696",7165,"DEPAUL UNIVERSITY                                                     ","IL","PRIVATE-NONPROFIT",23091967.5,1213
"12697",7166,"ILLINOIS EASTERN COMMUNITY COLLEGES - OLNEY CENTRAL COLLEGE           ","IL","PUBLIC",2184249,1213
"12698",7167,"HIGHLAND COMMUNITY COLLEGE                                            ","IL","PUBLIC",3720937.48,1213
"12699",7168,"KANKAKEE COMMUNITY COLLEGE                                            ","IL","PUBLIC",7237506.63,1213
"12700",7169,"ELGIN COMMUNITY COLLEGE                                               ","IL","PUBLIC",11601908.61,1213
"12701",7170,"TELSHE YESHIVA-CHICAGO                                                ","IL","PRIVATE-NONPROFIT",152502,1213
"12702",7171,"TRINITY CHRISTIAN COLLEGE                                             ","IL","PRIVATE-NONPROFIT",1871104.73,1213
"12703",7172,"MOODY BIBLE INSTITUTE                                                 ","IL","PRIVATE-NONPROFIT",2946012.26,1213
"12704",7173,"LOYOLA UNIVERSITY CHICAGO                                             ","IL","PRIVATE-NONPROFIT",12343514.43,1213
"12705",7174,"MIDWESTERN CAREER COLLEGE                                             ","IL","PROPRIETARY",1130892,1213
"12706",7175,"SOMA INSTITUTE - THE NATIONAL SCHOOL OF CLINICAL MASSAGE THERAPY      ","IL","PROPRIETARY",403243.05,1213
"12707",7176,"CANNELLA SCHOOL OF HAIR DESIGN                                        ","IL","PROPRIETARY",491130,1213
"12708",7177,"JOHN WOOD COMMUNITY COLLEGE                                           ","IL","PUBLIC",4095587.49,1213
"12709",7178,"ST. AUGUSTINE COLLEGE                                                 ","IL","PRIVATE-NONPROFIT",6008533,1213
"12710",7179,"SAINT ANTHONY COLLEGE OF NURSING                                      ","IL","PRIVATE-NONPROFIT",390505,1213
"12711",7180,"BUSINESS INDUSTRIAL RESOURCES                                         ","IL","PROPRIETARY",5333012,1213
"12712",7181,"COSMETOLOGY AND SPA ACADEMY                                           ","IL","PROPRIETARY",538107,1213
"12713",7182,"SOUTHEASTERN ILLINOIS COLLEGE                                         ","IL","PUBLIC",2896839,1213
"12714",7183,"UNITY COSMETOLOGY COLLEGE                                             ","IL","PROPRIETARY",143638,1213
"12715",7184,"TRIBECA FLASHPOINT MEDIA ARTS ACADEMY                                 ","IL","PROPRIETARY",146825,1213
"12716",7185,"UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN                            ","IL","PUBLIC",28156407,1213
"12717",7186,"CORTIVA INSTITUTE - CHICAGO                                           ","IL","PROPRIETARY",1002717.48,1213
"12718",7187,"DANVILLE AREA COMMUNITY COLLEGE                                       ","IL","PUBLIC",4336909.87,1213
"12719",7188,"CARL SANDBURG COLLEGE                                                 ","IL","PUBLIC",4757588.06,1213
"12720",7189,"EUROPEAN MASSAGE THERAPY SCHOOL                                       ","IL","PROPRIETARY",339416.77,1213
"12721",7190,"CAPRI OAK FOREST BEAUTY COLLEGE                                       ","IL","PROPRIETARY",545390.71,1213
"12722",7191,"AMERICAN INTERCONTINENTAL UNIVERSITY                                  ","IL","PROPRIETARY",55734182.19,1213
"12723",7192,"MIDSTATE COLLEGE                                                      ","IL","PROPRIETARY",1511027.41,1213
"12724",7193,"AMERICAN ACADEMY OF ART                                               ","IL","PROPRIETARY",816866,1213
"12725",7194,"NORTHERN ILLINOIS UNIVERSITY                                          ","IL","PUBLIC",29894628,1213
"12726",7195,"PIVOT POINT ACADEMY                                                   ","IL","PROPRIETARY",1167990,1213
"12727",7196,"ILLINOIS COLLEGE                                                      ","IL","PRIVATE-NONPROFIT",1352584,1213
"12728",7197,"TRI COUNTY BEAUTY ACADEMY                                             ","IL","PROPRIETARY",48974,1213
"12729",7198,"PROFESSIONALS CHOICE HAIR DESIGN ACADEMY                              ","IL","PROPRIETARY",107634,1213
"12730",7199,"NETWORKS BARBER COLLEGE                                               ","IL","PROPRIETARY",11100,1213
"12731",7200,"GRAHAM HOSPITAL SCHOOL OF NURSING                                     ","IL","PRIVATE-NONPROFIT",211809,1213
"12732",7201,"BLACK HAWK COLLEGE                                                    ","IL","PUBLIC",8196660,1213
"12733",7202,"NORTH CENTRAL COLLEGE                                                 ","IL","PRIVATE-NONPROFIT",2666184,1213
"12734",7203,"CANNELLA SCHOOL OF HAIR DESIGN                                        ","IL","PROPRIETARY",326865,1213
"12735",7204,"ROCK VALLEY COLLEGE                                                   ","IL","PUBLIC",11041479.2,1213
"12736",7205,"ROCKFORD UNIVERSITY                                                   ","IL","PRIVATE-NONPROFIT",2085037,1213
"12737",7206,"MCKENDREE UNIVERSITY                                                  ","IL","PRIVATE-NONPROFIT",3048767,1213
"12738",7207,"INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY                        ","IL","PROPRIETARY",7534328.41,1213
"12739",7208,"CHICAGO SCHOOL FOR PIANO TECHNOLOGY (THE)                             ","IL","PRIVATE-NONPROFIT",5550,1213
"12740",7209,"CITY COLLEGES OF CHICAGO - KENNEDY KING COLLEGE                       ","IL","PUBLIC",17072355.72,1213
"12741",7210,"LINCOLN COLLEGE                                                       ","IL","PRIVATE-NONPROFIT",3342259,1213
"12742",7211,"PRAIRIE STATE COLLEGE                                                 ","IL","PUBLIC",9891005.75,1213
"12743",7212,"PCCTI  HEALTHCARE                                                     ","IL","PROPRIETARY",340427,1213
"12744",7213,"SOUTHWESTERN ILLINOIS COLLEGE                                         ","IL","PUBLIC",16846559.53,1213
"12745",7214,"NATIONAL LOUIS UNIVERSITY                                             ","IL","PRIVATE-NONPROFIT",3430126.29,1213
"12746",7215,"GREENVILLE COLLEGE                                                    ","IL","PRIVATE-NONPROFIT",1902466,1213
"12747",7216,"HEBREW THEOLOGICAL COLLEGE                                            ","IL","PRIVATE-NONPROFIT",1405840,1213
"12748",7217,"NORTHEASTERN ILLINOIS UNIVERSITY                                      ","IL","PUBLIC",17882517,1213
"12749",7218,"PAUL MITCHELL THE SCHOOL BRADLEY                                      ","IL","PROPRIETARY",1156555,1213
"12750",7219,"ILLINOIS WESLEYAN UNIVERSITY                                          ","IL","PRIVATE-NONPROFIT",1503720,1213
"12751",7220,"MR. JOHN'S SCHOOL OF COSMETOLOGY AND NAILS                            ","IL","PROPRIETARY",170311,1213
"12752",7221,"LA' JAMES INTERNATIONAL COLLEGE                                       ","IL","PROPRIETARY",122786.46,1213
"12753",7222,"HAROLD WASHINGTON COLLEGE                                             ","IL","PUBLIC",24139585.91,1213
"12754",7223,"SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE                             ","IL","PUBLIC",16126287.88,1213
"12755",7224,"JUDSON UNIVERSITY                                                     ","IL","PRIVATE-NONPROFIT",1631668.39,1213
"12756",7225,"ILLINOIS INSTITUTE OF ART (THE)                                       ","IL","PROPRIETARY",14854174.13,1213
"12757",7226,"SCHOOL OF THE ART INSTITUTE OF CHICAGO                                ","IL","PRIVATE-NONPROFIT",2680129.14,1213
"12758",7227,"ILLINOIS VALLEY COMMUNITY COLLEGE                                     ","IL","PUBLIC",5314476.79,1213
"12759",7228,"SOLEX MEDICAL ACADEMY                                                 ","IL","PROPRIETARY",46080,1213
"12760",7229,"BLESSING HOSPITAL                                                     ","IL","PRIVATE-NONPROFIT",313937.68,1213
"12761",7230,"ILLINOIS CENTRAL COLLEGE                                              ","IL","PUBLIC",12079713.13,1213
"12762",7231,"DOMINICAN UNIVERSITY                                                  ","IL","PRIVATE-NONPROFIT",3925932,1213
"12763",7232,"MONMOUTH COLLEGE                                                      ","IL","PRIVATE-NONPROFIT",2327867.97,1213
"12764",7233,"PARKLAND COLLEGE                                                      ","IL","PUBLIC",12666064.97,1213
"12765",7234,"LAKEVIEW COLLEGE OF NURSING                                           ","IL","PRIVATE-NONPROFIT",430554.29,1213
"12766",7235,"UNIVERSITY OF SAINT FRANCIS                                           ","IL","PRIVATE-NONPROFIT",2524213,1213
"12767",7236,"GOVERNORS STATE UNIVERSITY                                            ","IL","PUBLIC",6298221.45,1213
"12768",7237,"ROOSEVELT UNIVERSITY                                                  ","IL","PRIVATE-NONPROFIT",6594010,1213
"12769",7238,"UNIVERSITY OF CHICAGO (THE)                                           ","IL","PRIVATE-NONPROFIT",3298406,1213
"12770",7239,"NORTHWESTERN COLLEGE                                                  ","IL","PROPRIETARY",4828592.34,1213
"12771",7240,"TRITON COLLEGE                                                        ","IL","PUBLIC",14494024,1213
"12772",7241,"ALVAREITA'S COLLEGE OF COSMETOLOGY                                    ","IL","PROPRIETARY",224913,1213
"12773",7242,"PAUL MITCHELL THE SCHOOL NORMAL                                       ","IL","PROPRIETARY",270384.64,1213
"12774",7243,"SHIMER COLLEGE                                                        ","IL","PRIVATE-NONPROFIT",250969.5,1213
"12775",7244,"ETI SCHOOL OF SKILLED TRADES                                          ","IL","PROPRIETARY",1255920,1213
"12776",7245,"BELL MAR BEAUTY COLLEGE                                               ","IL","PROPRIETARY",243343,1213
"12777",7246,"OLIVE-HARVEY COLLEGE                                                  ","IL","PUBLIC",10421955.71,1213
"12778",7247,"BLACKBURN UNIVERSITY                                                  ","IL","PRIVATE-NONPROFIT",1240330.57,1213
"12779",7248,"SALON PROFESSIONAL ACADEMY OF ELGIN (THE)                             ","IL","PROPRIETARY",91061,1213
"12780",7249,"KNOX COLLEGE                                                          ","IL","PRIVATE-NONPROFIT",1625583,1213
"12781",7250,"SOLEX COLLEGE                                                         ","IL","PROPRIETARY",639780.64,1213
"12782",7251,"CAPITAL AREA CAREER CENTER                                            ","IL","PUBLIC",481989,1213
"12783",7252,"ANDERSON UNIVERSITY                                                   ","IN","PRIVATE-NONPROFIT",2778681.4,1213
"12784",7253,"DAVID DEMUTH INSTITUTE OF COSMETOLOGY                                 ","IN","PROPRIETARY",51309,1213
"12785",7254,"RAVENSCROFT BEAUTY COLLEGE                                            ","IN","PROPRIETARY",761847.67,1213
"12786",7255,"SALON PROFESSIONAL ACADEMY (THE)                                      ","IN","PROPRIETARY",414880,1213
"12787",7256,"J. EVERETT LIGHT CAREER CENTER                                        ","IN","PUBLIC",155839,1213
"12788",7257,"INDIANA UNIVERSITY - EAST                                             ","IN","PUBLIC",6653015,1213
"12789",7258,"MANCHESTER UNIVERSITY                                                 ","IN","PRIVATE-NONPROFIT",1740093.31,1213
"12790",7259,"MARTIN UNIVERSITY                                                     ","IN","PRIVATE-NONPROFIT",2054271,1213
"12791",7260,"HOLY CROSS COLLEGE                                                    ","IN","PRIVATE-NONPROFIT",740933,1213
"12792",7261,"MERRILLVILLE BEAUTY COLLEGE                                           ","IN","PROPRIETARY",278503.73,1213
"12793",7262,"LIL LOU'S BEAUTY AND BARBER COLLEGE                                   ","IN","PROPRIETARY",195347,1213
"12794",7263,"TRICOCI UNIVERSITY OF BEAUTY CULTURE                                  ","IN","PROPRIETARY",381185,1213
"12795",7264,"ROSE-HULMAN INSTITUTE OF TECHNOLOGY                                   ","IN","PRIVATE-NONPROFIT",1484144,1213
"12796",7265,"INDIANA INSTITUTE OF TECHNOLOGY                                       ","IN","PRIVATE-NONPROFIT",13635325.04,1213
"12797",7266,"TRICOCI UNIVERSITY OF BEAUTY CULTURE                                  ","IN","PROPRIETARY",195937.1,1213
"12798",7267,"SAINT ELIZABETH SCHOOL OF NURSING                                     ","IN","PRIVATE-NONPROFIT",624608,1213
"12799",7268,"ROGERS ACADEMY OF HAIR DESIGN                                         ","IN","PROPRIETARY",482841,1213
"12800",7269,"AVIATION INSTITUTE OF MAINTENANCE                                     ","IN","PROPRIETARY",783246,1213
"12801",7270,"KAPLAN COLLEGE                                                        ","IN","PROPRIETARY",1911410,1213
"12802",7271,"HAIR ARTS ACADEMY                                                     ","IN","PROPRIETARY",153840,1213
"12803",7272,"TAYLOR UNIVERSITY                                                     ","IN","PRIVATE-NONPROFIT",1581544,1213
"12804",7273,"AVEDA FREDRIC'S INSTITUTE                                             ","IN","PROPRIETARY",310167,1213
"12805",7274,"HAIR FASHIONS BY KAYE BEAUTY COLLEGE                                  ","IN","PROPRIETARY",223101,1213
"12806",7275,"EARLHAM COLLEGE                                                       ","IN","PRIVATE-NONPROFIT",1211141,1213
"12807",7276,"HUNTINGTON UNIVERSITY                                                 ","IN","PRIVATE-NONPROFIT",1554530,1213
"12808",7277,"HARROLD BEAUTY ACADEMY                                                ","IN","PROPRIETARY",271585.97,1213
"12809",7278,"TUCKER CAREER AND TECHNOLOGY CENTER                                   ","IN","PUBLIC",172714.27,1213
"12810",7279,"TRICOCI UNIVERSITY OF BEAUTY CULTURE                                  ","IN","PROPRIETARY",654581,1213
"12811",7280,"INDIANA UNIVERSITY - KOKOMO                                           ","IN","PUBLIC",5245754,1213
"12812",7281,"INDIANA UNIVERSITY PURDUE UNIVERSITY FT WAYNE                         ","IN","PUBLIC",19061611.9,1213
"12813",7282,"COLLEGE OF COURT REPORTING                                            ","IN","PROPRIETARY",569886.12,1213
"12814",7283,"ANCILLA DOMINI COLLEGE                                                ","IN","PRIVATE-NONPROFIT",1180159.88,1213
"12815",7284,"INDIANA UNIVERSITY - PURDUE UNIVERSITY INDIANAPOLIS                   ","IN","PUBLIC",36680964,1213
"12816",7285,"INTERNATIONAL BUSINESS COLLEGE                                        ","IN","PROPRIETARY",2618229.68,1213
"12817",7286,"PAUL MITCHELL THE SCHOOL INDIANAPOLIS                                 ","IN","PROPRIETARY",353401.37,1213
"12818",7287,"ITT TECHNICAL INSTITUTE                                               ","IN","PROPRIETARY",230368029.23,1213
"12819",7288,"SUCCESS SCHOOLS LLC                                                   ","IN","PROPRIETARY",564506,1213
"12820",7289,"DON ROBERTS SCHOOL OF HAIR DESIGN                                     ","IN","PROPRIETARY",165986,1213
"12821",7290,"HARRISON COLLEGE                                                      ","IN","PROPRIETARY",18087527,1213
"12822",7291,"INDIANA WESLEYAN UNIVERSITY                                           ","IN","PRIVATE-NONPROFIT",19015234.97,1213
"12823",7292,"GOSHEN COLLEGE                                                        ","IN","PRIVATE-NONPROFIT",1119001,1213
"12824",7293,"BALL STATE UNIVERSITY                                                 ","IN","PUBLIC",21757571.2,1213
"12825",7294,"PURDUE UNIVERSITY - NORTH CENTRAL                                     ","IN","PUBLIC",6230915.99,1213
"12826",7295,"RUDAE'S SCHOOL OF BEAUTY CULTURE                                      ","IN","PROPRIETARY",537821,1213
"12827",7296,"IDEAL BEAUTY ACADEMY                                                  ","IN","PROPRIETARY",115472,1213
"12828",7297,"PURDUE UNIVERSITY - CALUMET                                           ","IN","PUBLIC",11781827.68,1213
"12829",7298,"WABASH COLLEGE                                                        ","IN","PRIVATE-NONPROFIT",901875.74,1213
"12830",7299,"MEDTECH COLLEGE                                                       ","IN","PROPRIETARY",11226275.05,1213
"12831",7300,"LINCOLN COLLEGE OF TECHNOLOGY                                         ","IN","PROPRIETARY",30429273.49,1213
"12832",7301,"UNIVERSITY OF SAINT FRANCIS                                           ","IN","PRIVATE-NONPROFIT",3192590,1213
"12833",7302,"TRINE UNIVERSITY                                                      ","IN","PRIVATE-NONPROFIT",2933993,1213
"12834",7303,"AVANT GARD THE SCHOOL                                                 ","IN","PROPRIETARY",117530,1213
"12835",7304,"CROSSROADS BIBLE COLLEGE                                              ","IN","PRIVATE-NONPROFIT",607014,1213
"12836",7305,"FRANKLIN COLLEGE OF INDIANA                                           ","IN","PRIVATE-NONPROFIT",1660333,1213
"12837",7306,"CALUMET COLLEGE OF SAINT JOSEPH                                       ","IN","PRIVATE-NONPROFIT",1713936,1213
"12838",7307,"OAKLAND CITY UNIVERSITY                                               ","IN","PRIVATE-NONPROFIT",1327683,1213
"12839",7308,"PJ'S COLLEGE OF COSMETOLOGY                                           ","IN","PROPRIETARY",464561,1213
"12840",7309,"SAINT JOSEPH'S COLLEGE                                                ","IN","PRIVATE-NONPROFIT",1298930.74,1213
"12841",7310,"MASTERS OF COSMETOLOGY COLLEGE                                        ","IN","PROPRIETARY",281933,1213
"12842",7311,"BETHEL COLLEGE                                                        ","IN","PRIVATE-NONPROFIT",4046825.39,1213
"12843",7312,"INDIANA STATE UNIVERSITY                                              ","IN","PUBLIC",18255387.39,1213
"12844",7313,"KAPLAN COLLEGE                                                        ","IN","PROPRIETARY",2501844,1213
"12845",7314,"PJ'S COLLEGE OF COSMETOLOGY                                           ","IN","PROPRIETARY",162789,1213
"12846",7315,"APEX ACADEMY OF HAIR DESIGN                                           ","IN","PROPRIETARY",15725,1213
"12847",7316,"UNIVERSITY OF NOTRE DAME                                              ","IN","PRIVATE-NONPROFIT",3993730,1213
"12848",7317,"MYCOMPUTERCAREER.COM /TECHSKILLS                                      ","IN","PROPRIETARY",107308.2,1213
"12849",7318,"HANOVER COLLEGE                                                       ","IN","PRIVATE-NONPROFIT",1590683,1213
"12850",7319,"HAIR FASHIONS BY KAYE BEAUTY COLLEGE                                  ","IN","PROPRIETARY",501017,1213
"12851",7320,"MARIAN UNIVERSITY                                                     ","IN","PRIVATE-NONPROFIT",2887423,1213
"12852",7321,"MID AMERICA COLLEGE OF FUNERAL SERVICE                                ","IN","PRIVATE-NONPROFIT",304497,1213
"12853",7322,"GRACE COLLEGE AND THEOLOGICAL SEMINARY                                ","IN","PRIVATE-NONPROFIT",2097082,1213
"12854",7323,"ST MARY OF THE WOODS COLLEGE                                          ","IN","PRIVATE-NONPROFIT",1689214.78,1213
"12855",7324,"NATIONAL COLLEGE                                                      ","IN","PROPRIETARY",6182418.21,1213
"12856",7325,"IVY TECH COMMUNITY COLLEGE OF INDIANA                                 ","IN","PUBLIC",218620818.75,1213
"12857",7326,"INDIANA UNIVERSITY - BLOOMINGTON                                      ","IN","PUBLIC",26397125.5,1213
"12858",7327,"KNOX BEAUTY COLLEGE                                                   ","IN","PROPRIETARY",79268,1213
"12859",7328,"ALEXANDRIA SCHOOL OF SCIENTIFIC THERAPEUTICS                          ","IN","PROPRIETARY",89660.35,1213
"12860",7329,"UNIVERSITY OF EVANSVILLE                                              ","IN","PRIVATE-NONPROFIT",2773581.03,1213
"12861",7330,"ST MARYS COLLEGE                                                      ","IN","PRIVATE-NONPROFIT",1279779.5,1213
"12862",7331,"DON ROBERTS BEAUTY SCHOOL                                             ","IN","PROPRIETARY",122299,1213
"12863",7332,"INDIANA UNIVERSITY - NORTHWEST                                        ","IN","PUBLIC",10286330,1213
"12864",7333,"SALON PROFESSIONAL ACADEMY (THE)                                      ","IN","PROPRIETARY",337755,1213
"12865",7334,"VINCENNES UNIVERSITY                                                  ","IN","PUBLIC",16838350,1213
"12866",7335,"UNIVERSITY OF SOUTHERN INDIANA                                        ","IN","PUBLIC",12078814.5,1213
"12867",7336,"VINCENNES BEAUTY COLLEGE                                              ","IN","PROPRIETARY",132417,1213
"12868",7337,"UNIVERSITY OF INDIANAPOLIS                                            ","IN","PRIVATE-NONPROFIT",6343819.71,1213
"12869",7338,"SALON PROFESSIONAL ACADEMY (THE)                                      ","IN","PROPRIETARY",279080,1213
"12870",7339,"PURDUE UNIVERSITY                                                     ","IN","PUBLIC",25724619,1213
"12871",7340,"VALPARAISO UNIVERSITY                                                 ","IN","PRIVATE-NONPROFIT",3147972,1213
"12872",7341,"DEPAUW UNIVERSITY                                                     ","IN","PRIVATE-NONPROFIT",1828532,1213
"12873",7342,"BUTLER UNIVERSITY                                                     ","IN","PRIVATE-NONPROFIT",2753179.5,1213
"12874",7343,"INDIANA UNIVERSITY SOUTHEAST                                          ","IN","PUBLIC",9732607,1213
"12875",7344,"INDIANA UNIVERSITY - SOUTH BEND                                       ","IN","PUBLIC",12153659,1213
"12876",7345,"WASHBURN UNIVERSITY - TOPEKA                                          ","KS","PUBLIC",10915858,1213
"12877",7346,"MANHATTAN CHRISTIAN COLLEGE                                           ","KS","PRIVATE-NONPROFIT",508476,1213
"12878",7347,"CLOUD COUNTY COMMUNITY COLLEGE                                        ","KS","PUBLIC",3079270,1213
"12879",7348,"PINNACLE CAREER INSTITUTE                                             ","KS","PROPRIETARY",529192,1213
"12880",7349,"PRATT COMMUNITY COLLEGE                                               ","KS","PUBLIC",1874243,1213
"12881",7350,"NORTHWEST KANSAS TECHNICAL COLLEGE                                    ","KS","PUBLIC",1118725,1213
"12882",7351,"WRIGHT CAREER COLLEGE                                                 ","KS","PRIVATE-NONPROFIT",15086643,1213
"12883",7352,"BAKER UNIVERSITY                                                      ","KS","PRIVATE-NONPROFIT",2701494.3,1213
"12884",7353,"SEWARD COUNTY COMMUNITY COLLEGE/AREA TECHNICAL SCHOOL                 ","KS","PUBLIC",1811327.24,1213
"12885",7354,"PAUL MITCHELL THE SCHOOL WICHITA                                      ","KS","PROPRIETARY",480546.52,1213
"12886",7355,"UNIVERSITY OF KANSAS                                                  ","KS","PUBLIC",17280777.83,1213
"12887",7356,"SOUTHWESTERN COLLEGE                                                  ","KS","PRIVATE-NONPROFIT",2268165,1213
"12888",7357,"BROWN MACKIE COLLEGE (THE -)                                          ","KS","PROPRIETARY",5298529,1213
"12889",7358,"EMPORIA STATE UNIVERSITY                                              ","KS","PUBLIC",6523274,1213
"12890",7359,"BETHEL COLLEGE                                                        ","KS","PRIVATE-NONPROFIT",694481,1213
"12891",7360,"CRAVE BEAUTY ACADEMY                                                  ","KS","PROPRIETARY",698297.14,1213
"12892",7361,"BRYAN UNIVERSITY                                                      ","KS","PROPRIETARY",565052,1213
"12893",7362,"MARINELLO SCHOOL OF BEAUTY                                            ","KS","PROPRIETARY",499137,1213
"12894",7363,"SIDNEY'S HAIRDRESSING COLLEGE                                         ","KS","PROPRIETARY",189898,1213
"12895",7364,"INDEPENDENCE COMMUNITY COLLEGE                                        ","KS","PUBLIC",1816086.45,1213
